Date,Close/Last,Volume,Open,High,Low
05/28/2022,1774.55,N/A,1764.41,1795.5,1764.72
05/27/2022,1758.05,N/A,1768.29,1762.42,1722.88
05/26/2022,1769.78,N/A,1948.88,1807.02,1734.05
05/25/2022,1943.28,N/A,2013.72,1964.91,1934.2
05/24/2022,2015.14,N/A,1987.94,2020.64,1971.07
05/23/2022,1987.38,N/A,2030.76,1989.71,1970.5
05/22/2022,2029.26,N/A,1974.11,2054.54,2021.53
05/21/2022,1973.09,N/A,1967.87,1983.65,1972.08
05/20/2022,1959.03,N/A,2023.39,1973.66,1940.59
05/19/2022,2023.89,N/A,1953.19,2051.8,2005.27
05/18/2022,1956.19,N/A,2040.76,1963.44,1903.67
05/17/2022,2040.11,N/A,2073.76,2108.84,2037.92
05/16/2022,2073.47,N/A,2075.81,2078.66,2019.5
05/15/2022,2072.98,N/A,2014.59,2145.86,2068.43
05/14/2022,2014.44,N/A,2055.63,2078.17,2001.74
05/13/2022,2049.91,N/A,2095.46,2068.66,2002.8
05/12/2022,2103.28,N/A,1977.79,2106.12,1941.53
05/11/2022,2016.31,N/A,2360.72,2190.51,2007.86
05/10/2022,2365.41,N/A,2304.23,2391.32,2321.95
05/09/2022,2308.76,N/A,2457.64,2345.54,2202.02
05/08/2022,2462.2,N/A,2545.43,2529.35,2426.37
05/07/2022,2539.65,N/A,2668.87,2641.84,2525.91
05/06/2022,2676.07,N/A,2744.75,2697.46,2665.77
05/05/2022,2743.74,N/A,2941.7,2757.14,2726.46
05/04/2022,2941.1,N/A,2798.23,2952.84,2937.74
05/03/2022,2798.03,N/A,2847.97,2807.55,2773.9
05/02/2022,2847.02,N/A,2841.13,2861.42,2830.76
05/01/2022,2844.57,N/A,2777.2,2848.03,2823.28
04/30/2022,2771.99,N/A,2818.39,2780.31,2720.57
04/29/2022,2819.01,N/A,2924.1,2837.78,2810.84
